"","CV<5%","CV<10%","CV<15%","CV<20%","CV<25%","CV<30%","CV<35%","CV<40%","CV<45%","CV<50%","CV<55%","CV<60%","CV<65%","CV<70%","CV<75%","CV<80%","CV<85%","CV<90%","CV<95%","CV<100%"
"Batch_1",13.2530120481928,46.9879518072289,66.8674698795181,81.3253012048193,90.3614457831325,95.1807228915663,96.9879518072289,98.1927710843374,99.3975903614458,99.3975903614458,99.3975903614458,100,100,100,100,100,100,100,100,100
"Batch_2",16.2650602409639,50,74.6987951807229,84.3373493975904,92.1686746987952,93.3734939759036,95.7831325301205,96.9879518072289,96.9879518072289,96.9879518072289,97.5903614457831,98.1927710843374,98.1927710843374,98.7951807228916,99.3975903614458,99.3975903614458,99.3975903614458,99.3975903614458,99.3975903614458,99.3975903614458
"Batch_3",13.2530120481928,43.3734939759036,68.6746987951807,80.7228915662651,87.3493975903614,90.3614457831325,93.3734939759036,94.578313253012,95.1807228915663,96.3855421686747,97.5903614457831,99.3975903614458,99.3975903614458,100,100,100,100,100,100,100
"Batch_4",27.710843373494,49.3975903614458,64.4578313253012,70.4819277108434,76.5060240963855,81.9277108433735,83.7349397590361,84.9397590361446,87.3493975903614,89.1566265060241,89.1566265060241,91.566265060241,94.578313253012,95.1807228915663,95.7831325301205,95.7831325301205,97.5903614457831,98.1927710843374,98.7951807228916,98.7951807228916
"Total",4.81927710843374,34.3373493975904,62.6506024096386,78.9156626506024,89.1566265060241,92.7710843373494,96.3855421686747,97.5903614457831,98.1927710843374,98.7951807228916,99.3975903614458,100,100,100,100,100,100,100,100,100
